Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,2,52,4,6.0,9520.0,1500.0,8.0,6.0,4.0,,13.0
11,2,52,4,5.0,5312.0,2200.0,40.0,4.0,9.0,2.0,12.0
11,1,30,4,7.0,7131.0,1320.0,8.0,6.0,3.0,,16.0
11,1,35,4,5.0,7212.0,2000.0,40.0,3.0,2.0,1.0,12.0
11,2,40,4,5.0,1420.0,1900.0,40.0,3.0,4.0,2.0,12.0
11,2,58,4,5.0,7536.0,450.0,6.0,6.0,2.0,,12.0
11,1,35,4,3.0,7214.0,1200.0,8.0,3.0,3.0,1.0,9.0
11,2,64,4,2.0,9111.0,400.0,8.0,1.0,11.0,2.0,7.0
11,1,41,1,3.0,7422.0,3000.0,8.0,6.0,10.0,,9.0
11,1,50,4,1.0,5221.0,3000.0,6.0,6.0,4.0,,0.0
11,2,60,4,2.0,4212.0,600.0,8.0,6.0,10.0,,3.0
11,2,41,4,5.0,5120.0,200.0,6.0,1.0,11.0,2.0,12.0
11,1,41,4,5.0,9313.0,80.0,8.0,3.0,3.0,2.0,12.0
11,2,46,4,7.0,2341.0,4000.0,8.0,4.0,9.0,,16.0
11,2,71,1,2.0,9111.0,240.0,8.0,1.0,11.0,2.0,5.0
11,1,42,1,2.0,5223.0,1400.0,8.0,3.0,4.0,2.0,6.0
11,2,41,1,7.0,3213.0,1320.0,8.0,3.0,2.0,1.0,16.0
11,1,27,4,5.0,6111.0,2500.0,48.0,3.0,1.0,1.0,12.0
11,1,44,4,1.0,7112.0,1320.0,40.0,6.0,3.0,,0.0
11,1,21,4,4.0,9313.0,1320.0,40.0,6.0,3.0,,10.0
11,1,51,1,2.0,8322.0,2000.0,40.0,4.0,8.0,,8.0
11,2,53,4,5.0,4110.0,2000.0,40.0,4.0,8.0,,12.0
11,1,28,2,5.0,7411.0,3700.0,40.0,3.0,2.0,1.0,12.0
11,2,24,2,4.0,5230.0,1700.0,48.0,3.0,4.0,1.0,10.0
11,2,39,4,3.0,9111.0,700.0,40.0,1.0,11.0,2.0,9.0
11,1,22,4,2.0,9111.0,700.0,40.0,1.0,11.0,2.0,8.0
11,1,34,4,1.0,7112.0,1302.0,44.0,6.0,3.0,,0.0
11,2,51,1,1.0,5120.0,1320.0,44.0,6.0,6.0,,0.0
11,2,33,4,5.0,4229.0,1600.0,40.0,3.0,9.0,1.0,12.0
11,2,37,2,2.0,9112.0,1600.0,48.0,3.0,7.0,1.0,5.0
11,2,56,4,3.0,5120.0,2000.0,48.0,6.0,6.0,,9.0
11,1,29,4,7.0,4110.0,2000.0,40.0,4.0,8.0,,16.0
11,1,69,2,2.0,7523.0,4000.0,44.0,3.0,2.0,1.0,5.0
11,2,56,2,7.0,2342.0,7000.0,40.0,4.0,9.0,,16.0
11,1,26,4,7.0,4221.0,2000.0,46.0,6.0,7.0,,16.0
11,2,52,4,2.0,5311.0,600.0,44.0,6.0,10.0,,8.0
11,2,42,1,5.0,9111.0,1100.0,44.0,1.0,11.0,2.0,12.0
11,1,37,2,7.0,412.0,6500.0,68.0,2.0,8.0,,16.0
11,2,35,4,7.0,4120.0,2000.0,44.0,3.0,9.0,1.0,16.0
11,1,29,4,5.0,5223.0,7000.0,44.0,3.0,4.0,1.0,12.0
11,2,21,4,5.0,5223.0,2640.0,44.0,3.0,4.0,1.0,12.0
11,2,45,4,4.0,5243.0,2000.0,20.0,6.0,4.0,,11.0
11,2,53,4,5.0,5243.0,600.0,14.0,6.0,4.0,,12.0
11,1,55,2,5.0,3142.0,4500.0,40.0,4.0,8.0,,12.0
