Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
13,2,23,1,5.0,2166,5000.0,40.0,6.0,7.0,,12.0
13,1,32,1,5.0,7422,800.0,20.0,3.0,4.0,2.0,12.0
13,1,30,1,6.0,3522,2000.0,40.0,3.0,7.0,1.0,13.0
13,1,48,4,5.0,3113,2700.0,44.0,3.0,2.0,1.0,12.0
13,1,46,4,7.0,3513,3000.0,40.0,6.0,7.0,,16.0
13,1,33,4,7.0,2166,3500.0,40.0,6.0,7.0,,16.0
13,1,43,1,5.0,2166,2000.0,60.0,6.0,7.0,,12.0
13,1,53,4,5.0,3113,7500.0,36.0,3.0,2.0,1.0,12.0
13,1,45,4,4.0,7422,3000.0,40.0,6.0,10.0,,12.0
13,1,30,4,5.0,7422,2000.0,40.0,6.0,10.0,,12.0
13,1,25,4,6.0,2166,2000.0,40.0,6.0,7.0,,13.0
13,1,28,1,7.0,2166,6000.0,40.0,3.0,7.0,1.0,16.0
13,1,21,4,6.0,3511,800.0,20.0,4.0,8.0,2.0,14.0
13,1,43,4,2.0,7421,600.0,50.0,3.0,4.0,2.0,7.0
13,1,54,1,5.0,3113,3000.0,44.0,3.0,5.0,1.0,12.0
13,1,51,1,7.0,2356,1800.0,40.0,3.0,9.0,2.0,16.0
13,1,44,5,1.0,2434,250.0,48.0,6.0,4.0,,0.0
13,1,33,4,7.0,3521,1412.0,40.0,3.0,7.0,1.0,16.0
13,1,45,1,5.0,3114,3000.0,45.0,3.0,2.0,1.0,12.0
13,1,28,4,7.0,2512,10500.0,40.0,3.0,7.0,1.0,16.0
13,2,55,4,5.0,3512,10500.0,40.0,4.0,8.0,,12.0
13,1,57,1,7.0,3522,3500.0,40.0,3.0,7.0,2.0,16.0
13,1,43,1,7.0,2519,7000.0,40.0,4.0,7.0,,16.0
13,1,27,1,5.0,3113,4500.0,40.0,3.0,2.0,1.0,12.0
13,1,20,4,5.0,7422,1800.0,48.0,3.0,7.0,1.0,12.0
13,1,44,1,7.0,2522,3000.0,40.0,3.0,7.0,1.0,16.0
13,1,47,4,5.0,3113,4350.0,44.0,3.0,2.0,1.0,12.0
13,1,49,4,5.0,7422,1200.0,30.0,3.0,10.0,2.0,12.0
13,1,23,1,5.0,7422,1200.0,30.0,3.0,10.0,2.0,12.0
13,1,25,4,7.0,2512,2000.0,40.0,3.0,2.0,2.0,15.0
13,1,43,4,2.0,3513,1500.0,44.0,3.0,7.0,1.0,7.0
13,1,47,4,5.0,3113,1320.0,30.0,4.0,9.0,,12.0
13,1,44,4,7.0,2511,5000.0,30.0,3.0,7.0,2.0,16.0
13,1,31,1,7.0,2512,13500.0,40.0,3.0,7.0,1.0,16.0
13,1,42,1,7.0,2514,3500.0,44.0,6.0,7.0,,16.0
13,1,32,1,3.0,7421,3000.0,30.0,6.0,10.0,,9.0
13,1,25,1,5.0,3521,1412.0,20.0,3.0,3.0,2.0,12.0
13,1,19,2,7.0,2166,6000.0,55.0,6.0,7.0,,16.0
13,2,49,1,7.0,2356,2000.0,20.0,4.0,8.0,2.0,16.0
13,1,36,4,7.0,2512,10000.0,40.0,3.0,7.0,1.0,16.0
13,1,31,1,5.0,3114,300.0,10.0,6.0,10.0,,12.0
13,1,44,4,7.0,3113,10000.0,44.0,3.0,2.0,1.0,16.0
13,1,46,4,5.0,7422,3000.0,45.0,6.0,10.0,,12.0
13,1,67,1,7.0,2151,10000.0,40.0,3.0,2.0,1.0,16.0
13,1,29,4,5.0,7422,1412.0,40.0,3.0,7.0,1.0,12.0
13,1,35,1,5.0,7422,2824.0,40.0,4.0,8.0,2.0,12.0
13,1,34,4,2.0,7422,2000.0,40.0,6.0,10.0,,1.0
13,1,25,4,7.0,2511,4000.0,40.0,3.0,7.0,2.0,14.0
13,1,31,4,5.0,3113,2000.0,40.0,3.0,2.0,1.0,12.0
14,2,23,4,7.0,3513,1500.0,40.0,3.0,7.0,1.0,16.0
14,2,72,5,5.0,4131,1412.0,40.0,4.0,9.0,,12.0
14,1,21,4,5.0,2166,800.0,30.0,6.0,7.0,,12.0
14,2,25,1,6.0,2166,1000.0,30.0,6.0,7.0,,16.0
14,1,20,4,6.0,3511,1400.0,20.0,4.0,8.0,2.0,14.0
14,1,39,5,7.0,2511,4500.0,40.0,3.0,7.0,2.0,16.0
14,1,49,1,7.0,3513,8000.0,40.0,4.0,8.0,,16.0
14,2,28,4,7.0,2511,2500.0,40.0,3.0,7.0,1.0,16.0
14,2,25,4,7.0,3513,3000.0,25.0,4.0,8.0,,16.0
14,1,55,1,7.0,3511,5000.0,30.0,4.0,8.0,2.0,14.0
14,1,25,4,5.0,3114,600.0,56.0,6.0,10.0,,12.0
14,1,35,4,5.0,3512,4000.0,30.0,4.0,8.0,,12.0
14,1,53,1,7.0,2166,1500.0,40.0,6.0,7.0,,16.0
14,1,44,4,7.0,2511,6000.0,30.0,4.0,8.0,2.0,16.0
14,1,39,4,5.0,3114,2400.0,80.0,6.0,10.0,,12.0
14,2,51,4,2.0,4131,0.0,40.0,4.0,8.0,,5.0
14,1,60,4,5.0,2166,5000.0,54.0,6.0,7.0,,12.0
14,1,39,4,7.0,1330,21200.0,46.0,3.0,7.0,2.0,16.0
14,2,40,1,7.0,1330,6750.0,40.0,3.0,10.0,1.0,16.0
14,1,32,4,5.0,3513,3000.0,48.0,3.0,7.0,1.0,12.0
14,1,24,5,6.0,3511,7000.0,40.0,3.0,7.0,1.0,13.0
14,1,21,4,7.0,2514,4500.0,40.0,3.0,7.0,1.0,15.0
14,1,29,4,7.0,2511,5000.0,30.0,6.0,7.0,,16.0
14,1,60,4,5.0,3114,800.0,30.0,6.0,10.0,,12.0
14,1,32,2,7.0,2512,16000.0,40.0,3.0,7.0,2.0,16.0
14,1,51,4,7.0,3114,2500.0,40.0,6.0,10.0,,16.0
14,1,38,4,5.0,7422,2300.0,40.0,3.0,7.0,1.0,12.0
15,1,57,4,7.0,2511,50000.0,60.0,4.0,9.0,,16.0
15,1,31,1,7.0,2511,3200.0,40.0,3.0,7.0,1.0,16.0
15,1,44,2,2.0,3522,0.0,32.0,3.0,3.0,2.0,5.0
15,1,32,2,5.0,3513,2400.0,48.0,3.0,4.0,1.0,12.0
15,1,46,4,7.0,7422,1412.0,24.0,6.0,10.0,,16.0
15,1,64,1,6.0,3513,10000.0,40.0,4.0,8.0,,13.0
15,1,27,2,7.0,2511,4600.0,54.0,3.0,4.0,1.0,16.0
