Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
13,1,44,4,7.0,3113,15000.0,44.0,3.0,2.0,1.0,16.0
13,1,29,4,5.0,3113,2200.0,44.0,3.0,3.0,1.0,12.0
13,1,41,4,5.0,3113,2000.0,44.0,3.0,4.0,1.0,12.0
13,1,67,1,7.0,2151,12000.0,40.0,3.0,2.0,1.0,16.0
13,1,29,4,5.0,3522,1600.0,44.0,3.0,7.0,1.0,12.0
13,1,41,4,7.0,2151,13000.0,40.0,3.0,2.0,1.0,16.0
13,1,36,4,5.0,3511,2500.0,44.0,3.0,5.0,1.0,12.0
13,1,36,4,5.0,3113,2640.0,40.0,3.0,2.0,1.0,12.0
13,1,25,4,7.0,2511,5500.0,40.0,3.0,7.0,2.0,14.0
13,1,57,1,5.0,3521,2000.0,40.0,3.0,7.0,1.0,12.0
13,1,31,4,5.0,3113,2500.0,40.0,3.0,7.0,1.0,12.0
14,1,43,1,5.0,7422,1000.0,40.0,6.0,10.0,,12.0
14,1,20,4,6.0,3511,1300.0,20.0,4.0,8.0,2.0,13.0
14,1,39,5,7.0,2511,2200.0,40.0,6.0,7.0,,16.0
14,1,48,1,7.0,3513,5000.0,40.0,4.0,8.0,,16.0
14,1,23,2,5.0,3113,1320.0,44.0,3.0,3.0,1.0,12.0
14,1,55,1,7.0,3513,5000.0,40.0,4.0,8.0,2.0,14.0
14,1,51,4,5.0,3114,5000.0,60.0,4.0,8.0,,12.0
14,1,33,5,4.0,3513,1000.0,40.0,3.0,7.0,2.0,10.0
14,1,34,4,5.0,3511,1700.0,40.0,3.0,4.0,1.0,12.0
14,1,23,2,6.0,3113,2500.0,40.0,4.0,8.0,2.0,16.0
14,1,22,1,7.0,3511,1618.0,30.0,4.0,8.0,2.0,14.0
14,1,31,4,5.0,3513,2000.0,48.0,3.0,7.0,1.0,12.0
14,1,24,5,7.0,2514,7000.0,40.0,3.0,7.0,1.0,16.0
14,1,27,4,7.0,2511,2600.0,40.0,6.0,7.0,,16.0
14,2,21,2,4.0,2166,0.0,4.0,6.0,7.0,,11.0
14,1,28,4,2.0,7422,1320.0,44.0,6.0,10.0,,1.0
14,1,22,4,4.0,7422,1400.0,44.0,3.0,10.0,1.0,11.0
14,1,33,4,5.0,3113,4300.0,40.0,3.0,2.0,1.0,12.0
14,1,32,2,7.0,2512,9000.0,40.0,3.0,7.0,2.0,15.0
14,1,50,4,5.0,3114,1800.0,48.0,6.0,10.0,,12.0
14,1,38,4,5.0,7422,1500.0,44.0,3.0,7.0,2.0,12.0
15,1,30,1,5.0,7422,12000.0,30.0,6.0,10.0,,12.0
15,1,25,4,6.0,3512,0.0,4.0,6.0,7.0,,16.0
15,1,56,4,7.0,2511,30000.0,60.0,4.0,9.0,,16.0
15,1,30,1,7.0,2511,4000.0,40.0,3.0,7.0,1.0,16.0
15,1,32,2,5.0,7422,1800.0,48.0,3.0,4.0,1.0,12.0
15,2,36,3,7.0,2166,1500.0,40.0,3.0,7.0,1.0,16.0
15,1,64,1,6.0,3513,10000.0,40.0,4.0,8.0,,13.0
15,1,30,1,6.0,3511,870.0,30.0,4.0,8.0,2.0,13.0
15,1,43,1,7.0,2512,36000.0,30.0,6.0,7.0,,16.0
15,2,31,1,7.0,2512,3600.0,30.0,6.0,7.0,,16.0
15,2,34,2,7.0,2166,3000.0,48.0,3.0,7.0,2.0,16.0
15,1,32,2,5.0,7421,1000.0,30.0,6.0,10.0,,12.0
15,1,38,1,7.0,2512,10000.0,40.0,3.0,1.0,1.0,16.0
15,1,28,4,5.0,7421,1320.0,40.0,3.0,7.0,2.0,12.0
15,1,22,4,5.0,3513,1320.0,44.0,3.0,7.0,1.0,12.0
15,1,57,4,5.0,4131,8000.0,25.0,4.0,8.0,,12.0
15,1,47,4,5.0,7422,2000.0,48.0,6.0,10.0,,12.0
15,1,46,4,7.0,2511,6000.0,40.0,3.0,7.0,1.0,14.0
15,1,36,4,7.0,2511,9000.0,30.0,4.0,7.0,,16.0
15,1,22,1,6.0,3511,800.0,30.0,3.0,4.0,2.0,13.0
15,1,48,4,5.0,3113,11500.0,58.0,3.0,2.0,1.0,12.0
15,1,50,1,7.0,3114,14000.0,44.0,3.0,2.0,1.0,14.0
15,1,28,1,7.0,3511,1500.0,44.0,3.0,7.0,1.0,16.0
15,1,52,4,7.0,3522,3800.0,30.0,3.0,7.0,1.0,16.0
15,1,28,4,7.0,2511,8000.0,60.0,3.0,7.0,1.0,16.0
15,1,24,1,7.0,3513,1880.0,44.0,3.0,7.0,1.0,16.0
15,2,26,4,7.0,2166,3640.0,40.0,3.0,7.0,1.0,16.0
